predicted_parent_genre	predicted_style	track_count	mean_activation	percentage
Rock	Rock---Alternative Rock	82	0.23051554518865375	3.9047619047619047
Folk, World, & Country	Folk, World, & Country---Folk	77	0.22060264037414032	3.6666666666666665
Rock	Rock---Punk	76	0.4180940679813686	3.619047619047619
Electronic	Electronic---House	61	0.3965211656005656	2.9047619047619047
Electronic	Electronic---Ambient	57	0.3651930644716087	2.7142857142857144
Rock	Rock---Pop Rock	56	0.22157634914453542	2.6666666666666665
Hip Hop	Hip Hop---Trap	54	0.43760430191953975	2.5714285714285716
Hip Hop	Hip Hop---Cloud Rap	52	0.5967740826308727	2.4761904761904763
Rock	Rock---Indie Rock	47	0.3078126783700699	2.238095238095238
Pop	Pop---Ballad	47	0.21542994028076212	2.238095238095238
Hip Hop	Hip Hop---Gangsta	40	0.4307553766295314	1.9047619047619047
Latin	Latin---Reggaeton	37	0.4516018560609302	1.7619047619047619
Pop	Pop---K-pop	35	0.35248165215764726	1.6666666666666667
Electronic	Electronic---Synth-pop	33	0.2823617580262097	1.5714285714285714
Rock	Rock---Hard Rock	30	0.3921163539091746	1.4285714285714286
Rock	Rock---Heavy Metal	29	0.3307823297278634	1.380952380952381
Electronic	Electronic---Downtempo	25	0.21296473741531372	1.1904761904761905
Funk / Soul	Funk / Soul---Soul	23	0.2754664178127828	1.0952380952380953
Pop	Pop---J-pop	21	0.49057736176820027	1.0
Stage & Screen	Stage & Screen---Soundtrack	20	0.2964341789484024	0.9523809523809523
Hip Hop	Hip Hop---Grime	19	0.3294403553009033	0.9047619047619048
Hip Hop	Hip Hop---Hardcore Hip-Hop	19	0.3271846528116025	0.9047619047619048
Electronic	Electronic---Techno	18	0.44958484959271217	0.8571428571428571
Hip Hop	Hip Hop---Boom Bap	17	0.347623810172081	0.8095238095238095
Folk, World, & Country	Folk, World, & Country---African	17	0.3351588503402822	0.8095238095238095
Rock	Rock---Death Metal	16	0.49503322038799524	0.7619047619047619
Electronic	Electronic---Tropical House	16	0.42724592611193657	0.7619047619047619
Electronic	Electronic---Experimental	15	0.2170823444922765	0.7142857142857143
Electronic	Electronic---Dubstep	13	0.3450888234835405	0.6190476190476191
Folk, World, & Country	Folk, World, & Country---Laïkó	13	0.3188313847550979	0.6190476190476191
Hip Hop	Hip Hop---Conscious	13	0.278569544164034	0.6190476190476191
Pop	Pop---Vocal	13	0.24625247458998972	0.6190476190476191
Jazz	Jazz---Contemporary Jazz	13	0.22082104190037802	0.6190476190476191
Electronic	Electronic---Drum n Bass	12	0.7868321364124616	0.5714285714285714
Pop	Pop---Bollywood	12	0.5360517191390196	0.5714285714285714
Classical	Classical---Baroque	12	0.498955341676871	0.5714285714285714
Electronic	Electronic---Deep House	12	0.43988552937904996	0.5714285714285714
Hip Hop	Hip Hop---Instrumental	12	0.4017939182619254	0.5714285714285714
Folk, World, & Country	Folk, World, & Country---Flamenco	12	0.31927691648403805	0.5714285714285714
Rock	Rock---Dream Pop	12	0.29669189887742203	0.5714285714285714
Rock	Rock---Blues Rock	12	0.2537512506047885	0.5714285714285714
Classical	Classical---Contemporary	12	0.19802374268571535	0.5714285714285714
Rock	Rock---Psychedelic Rock	12	0.19129202825327715	0.5714285714285714
Folk, World, & Country	Folk, World, & Country---Bluegrass	11	0.561964591795748	0.5238095238095238
Classical	Classical---Choral	11	0.49115777015686035	0.5238095238095238
Rock	Rock---Power Metal	11	0.47616097601977264	0.5238095238095238
Electronic	Electronic---Euro House	11	0.39146996899084613	0.5238095238095238
Electronic	Electronic---Disco Polo	11	0.3640899116342718	0.5238095238095238
Classical	Classical---Neo-Romantic	11	0.3042372898621993	0.5238095238095238
Jazz	Jazz---Easy Listening	11	0.25090117955749686	0.5238095238095238
Funk / Soul	Funk / Soul---Neo Soul	11	0.24783776700496674	0.5238095238095238
Folk, World, & Country	Folk, World, & Country---Indian Classical	10	0.5594119057059288	0.47619047619047616
Rock	Rock---Metalcore	10	0.4418143376708031	0.47619047619047616
Latin	Latin---Norteño	10	0.4313462689518929	0.47619047619047616
Funk / Soul	Funk / Soul---Funk	10	0.22630036771297454	0.47619047619047616
Latin	Latin---Cumbia	9	0.6557869248920016	0.42857142857142855
Latin	Latin---Salsa	9	0.637820260392295	0.42857142857142855
Latin	Latin---Mariachi	9	0.5436084849966897	0.42857142857142855
Electronic	Electronic---Synthwave	9	0.5056944621933831	0.42857142857142855
Electronic	Electronic---Progressive House	9	0.5005541841189066	0.42857142857142855
Folk, World, & Country	Folk, World, & Country---Celtic	9	0.47968660791714984	0.42857142857142855
Electronic	Electronic---Chillwave	9	0.36025280588203007	0.42857142857142855
Reggae	Reggae---Reggae	9	0.3177623417642381	0.42857142857142855
Folk, World, & Country	Folk, World, & Country---Country	9	0.31062905655966866	0.42857142857142855
Folk, World, & Country	Folk, World, & Country---Éntekhno	9	0.2584286704659462	0.42857142857142855
Electronic	Electronic---Electro	9	0.20962559514575535	0.42857142857142855
Electronic	Electronic---Tech Trance	8	0.4683577958494425	0.38095238095238093
Electronic	Electronic---Chiptune	8	0.42800106294453144	0.38095238095238093
Rock	Rock---Hardcore	8	0.40021320059895515	0.38095238095238093
Electronic	Electronic---Trance	8	0.38518719747662544	0.38095238095238093
Hip Hop	Hip Hop---Horrorcore	8	0.2651034528389573	0.38095238095238093
Rock	Rock---Black Metal	7	0.5178082287311554	0.3333333333333333
Classical	Classical---Romantic	7	0.3513136420931135	0.3333333333333333
Electronic	Electronic---Industrial	7	0.34368158876895905	0.3333333333333333
Non-Music	Non-Music---Audiobook	7	0.3265223332813808	0.3333333333333333
Funk / Soul	Funk / Soul---Gospel	7	0.27572157979011536	0.3333333333333333
Rock	Rock---Doo Wop	7	0.26200994849205017	0.3333333333333333
Classical	Classical---Neo-Classical	7	0.26080151966639925	0.3333333333333333
Children's	Children's---Nursery Rhymes	7	0.22881587275436946	0.3333333333333333
Electronic	Electronic---Hardcore	6	0.7310083210468292	0.2857142857142857
Electronic	Electronic---Psy-Trance	6	0.6585461124777794	0.2857142857142857
Electronic	Electronic---Hardstyle	6	0.6358181399603685	0.2857142857142857
Rock	Rock---Nu Metal	6	0.5666781241695086	0.2857142857142857
Latin	Latin---Nueva Cancion	6	0.5654349649945895	0.2857142857142857
Rock	Rock---Psychobilly	6	0.5213500956694285	0.2857142857142857
Folk, World, & Country	Folk, World, & Country---Soukous	6	0.41045016547044116	0.2857142857142857
Hip Hop	Hip Hop---Crunk	6	0.38370437175035477	0.2857142857142857
Electronic	Electronic---Nu-Disco	6	0.36564550548791885	0.2857142857142857
Folk, World, & Country	Folk, World, & Country---Polka	6	0.3490369071563085	0.2857142857142857
Brass & Military	Brass & Military---Brass Band	6	0.3329475944240888	0.2857142857142857
Latin	Latin---MPB	6	0.3134133319060008	0.2857142857142857
Hip Hop	Hip Hop---RnB/Swing	6	0.31194597234328586	0.2857142857142857
Rock	Rock---Doom Metal	6	0.2940635358293851	0.2857142857142857
Pop	Pop---Schlager	6	0.2571331039071083	0.2857142857142857
Rock	Rock---AOR	6	0.24827150255441666	0.2857142857142857
Latin	Latin---Tango	6	0.2357336605588595	0.2857142857142857
Rock	Rock---Folk Rock	6	0.22550696755448976	0.2857142857142857
Jazz	Jazz---Smooth Jazz	6	0.2162085920572281	0.2857142857142857
Pop	Pop---Parody	6	0.17676059901714325	0.2857142857142857
Reggae	Reggae---Ska	5	0.5040719270706177	0.23809523809523808
Classical	Classical---Renaissance	5	0.4687499165534973	0.23809523809523808
Folk, World, & Country	Folk, World, & Country---Zouk	5	0.4089429944753647	0.23809523809523808
Electronic	Electronic---UK Garage	5	0.3695635050535202	0.23809523809523808
Classical	Classical---Modern	5	0.3545896470546722	0.23809523809523808
Rock	Rock---Folk Metal	5	0.3432433634996414	0.23809523809523808
Rock	Rock---Power Pop	5	0.33170953392982483	0.23809523809523808
Funk / Soul	Funk / Soul---Disco	5	0.32345485389232637	0.23809523809523808
Non-Music	Non-Music---Spoken Word	5	0.2778356283903122	0.23809523809523808
Blues	Blues---Rhythm & Blues	5	0.25120235085487364	0.23809523809523808
Non-Music	Non-Music---Religious	5	0.24968480616807937	0.23809523809523808
Reggae	Reggae---Dancehall	5	0.1546216368675232	0.23809523809523808
Electronic	Electronic---Hands Up	4	0.6741478517651558	0.19047619047619047
Electronic	Electronic---Happy Hardcore	4	0.6216462105512619	0.19047619047619047
Folk, World, & Country	Folk, World, & Country---Romani	4	0.6139322444796562	0.19047619047619047
Electronic	Electronic---Italo-Disco	4	0.5427645146846771	0.19047619047619047
Reggae	Reggae---Lovers Rock	4	0.5103682391345501	0.19047619047619047
Electronic	Electronic---Freestyle	4	0.48202303797006607	0.19047619047619047
Reggae	Reggae---Ragga	4	0.46814532205462456	0.19047619047619047
Funk / Soul	Funk / Soul---New Jack Swing	4	0.4010176192969084	0.19047619047619047
Classical	Classical---Opera	4	0.3805088922381401	0.19047619047619047
Electronic	Electronic---Bassline	4	0.3586255945265293	0.19047619047619047
Classical	Classical---Impressionist	4	0.35693320259451866	0.19047619047619047
Electronic	Electronic---Disco	4	0.3514234833419323	0.19047619047619047
Rock	Rock---Coldwave	4	0.34541865065693855	0.19047619047619047
Rock	Rock---Shoegaze	4	0.344440221786499	0.19047619047619047
Hip Hop	Hip Hop---G-Funk	4	0.338603213429451	0.19047619047619047
Stage & Screen	Stage & Screen---Score	4	0.3270883671939373	0.19047619047619047
Latin	Latin---Forró	4	0.32552509382367134	0.19047619047619047
Rock	Rock---Sludge Metal	4	0.31334884837269783	0.19047619047619047
Folk, World, & Country	Folk, World, & Country---Raï	4	0.2995244972407818	0.19047619047619047
Hip Hop	Hip Hop---Bounce	4	0.2960025183856487	0.19047619047619047
Classical	Classical---Medieval	4	0.2366157565265894	0.19047619047619047
Folk, World, & Country	Folk, World, & Country---Fado	4	0.2176585402339697	0.19047619047619047
Rock	Rock---Gothic Metal	4	0.20491760782897472	0.19047619047619047
Pop	Pop---Chanson	4	0.18627940490841866	0.19047619047619047
Latin	Latin---Vallenato	3	0.7951517303784689	0.14285714285714285
Electronic	Electronic---Minimal Techno	3	0.6850878298282623	0.14285714285714285
Rock	Rock---Deathcore	3	0.6497899691263834	0.14285714285714285
Jazz	Jazz---Afrobeat	3	0.5467450320720673	0.14285714285714285
Reggae	Reggae---Dub	3	0.5396165202061335	0.14285714285714285
Electronic	Electronic---Tech House	3	0.5287925601005554	0.14285714285714285
Electronic	Electronic---Electro House	3	0.49786479274431866	0.14285714285714285
Electronic	Electronic---Vaporwave	3	0.4799816111723582	0.14285714285714285
Reggae	Reggae---Roots Reggae	3	0.47553617258866626	0.14285714285714285
Hip Hop	Hip Hop---Jazzy Hip-Hop	3	0.4687272310256958	0.14285714285714285
Non-Music	Non-Music---Field Recording	3	0.4555171529452006	0.14285714285714285
Pop	Pop---City Pop	3	0.3920334329207738	0.14285714285714285
Electronic	Electronic---Juke	3	0.38529878854751587	0.14285714285714285
Rock	Rock---Beat	3	0.3658069719870885	0.14285714285714285
Rock	Rock---Pop Punk	3	0.3493720640738805	0.14285714285714285
Brass & Military	Brass & Military---Marches	3	0.3395506938298543	0.14285714285714285
Hip Hop	Hip Hop---Bass Music	3	0.33108412722746533	0.14285714285714285
Non-Music	Non-Music---Comedy	3	0.31862012296915054	0.14285714285714285
Rock	Rock---Melodic Death Metal	3	0.2959795395533244	0.14285714285714285
Reggae	Reggae---Soca	3	0.2932618459065755	0.14285714285714285
Jazz	Jazz---Big Band	3	0.2883424510558446	0.14285714285714285
Rock	Rock---Ska	3	0.27823440233866376	0.14285714285714285
Rock	Rock---Goth Rock	3	0.2763995826244354	0.14285714285714285
Rock	Rock---Stoner Rock	3	0.27500460545221966	0.14285714285714285
Rock	Rock---Brit Pop	3	0.2739206502834956	0.14285714285714285
Electronic	Electronic---Big Beat	3	0.2710776577393214	0.14285714285714285
Children's	Children's---Educational	3	0.2696425865093867	0.14285714285714285
Rock	Rock---Rock & Roll	3	0.2597379833459854	0.14285714285714285
Jazz	Jazz---Swing	3	0.24702651550372443	0.14285714285714285
Hip Hop	Hip Hop---Ragga HipHop	3	0.24296208719412485	0.14285714285714285
Children's	Children's---Story	3	0.23922231793403625	0.14285714285714285
Pop	Pop---Indie Pop	3	0.22513744235038757	0.14285714285714285
Electronic	Electronic---Grime	3	0.21499273677666983	0.14285714285714285
Rock	Rock---Symphonic Rock	3	0.17057891190052032	0.14285714285714285
Electronic	Electronic---New Age	3	0.16352620720863342	0.14285714285714285
Rock	Rock---Ethereal	3	0.1586713269352913	0.14285714285714285
Rock	Rock---Prog Rock	3	0.14279155433177948	0.14285714285714285
Hip Hop	Hip Hop---Screw	2	0.8736847639083862	0.09523809523809523
Electronic	Electronic---Italodance	2	0.7477691173553467	0.09523809523809523
Rock	Rock---Melodic Hardcore	2	0.5715942084789276	0.09523809523809523
Rock	Rock---Post-Metal	2	0.5565420985221863	0.09523809523809523
Hip Hop	Hip Hop---Britcore	2	0.5448525100946426	0.09523809523809523
Non-Music	Non-Music---Dialogue	2	0.4954843372106552	0.09523809523809523
Rock	Rock---Acoustic	2	0.4553851932287216	0.09523809523809523
Stage & Screen	Stage & Screen---Musical	2	0.4268142729997635	0.09523809523809523
Electronic	Electronic---Dungeon Synth	2	0.4108983874320984	0.09523809523809523
Jazz	Jazz---Gypsy Jazz	2	0.40722110867500305	0.09523809523809523
Latin	Latin---Porro	2	0.3999932110309601	0.09523809523809523
Rock	Rock---Rockabilly	2	0.39883577823638916	0.09523809523809523
Latin	Latin---Ranchera	2	0.3935183510184288	0.09523809523809523
Rock	Rock---Oi	2	0.3784169852733612	0.09523809523809523
Folk, World, & Country	Folk, World, & Country---Catalan Music	2	0.35259900242090225	0.09523809523809523
Funk / Soul	Funk / Soul---Rhythm & Blues	2	0.34553687274456024	0.09523809523809523
Rock	Rock---New Wave	2	0.34490741789340973	0.09523809523809523
Electronic	Electronic---Darkwave	2	0.3382871299982071	0.09523809523809523
Rock	Rock---Yé-Yé	2	0.32973575592041016	0.09523809523809523
Electronic	Electronic---Goa Trance	2	0.32611484080553055	0.09523809523809523
Latin	Latin---Merengue	2	0.3255583792924881	0.09523809523809523
Jazz	Jazz---Modal	2	0.32524728775024414	0.09523809523809523
Rock	Rock---Speed Metal	2	0.31816714257001877	0.09523809523809523
Latin	Latin---Tejano	2	0.30242643505334854	0.09523809523809523
Rock	Rock---Thrash	2	0.29074256122112274	0.09523809523809523
Latin	Latin---Compas	2	0.2645910084247589	0.09523809523809523
Blues	Blues---Chicago Blues	2	0.2597750797867775	0.09523809523809523
Non-Music	Non-Music---Radioplay	2	0.24990970641374588	0.09523809523809523
Classical	Classical---Post-Modern	2	0.24934174865484238	0.09523809523809523
Hip Hop	Hip Hop---Pop Rap	2	0.24892842769622803	0.09523809523809523
Rock	Rock---Lo-Fi	2	0.2486056163907051	0.09523809523809523
Rock	Rock---Pub Rock	2	0.24719908088445663	0.09523809523809523
Classical	Classical---Classical	2	0.24189968407154083	0.09523809523809523
Non-Music	Non-Music---Poetry	2	0.2402743324637413	0.09523809523809523
Rock	Rock---Country Rock	2	0.23495608568191528	0.09523809523809523
Jazz	Jazz---Bossa Nova	2	0.23044320940971375	0.09523809523809523
Electronic	Electronic---Acid Jazz	2	0.21646608412265778	0.09523809523809523
Electronic	Electronic---Dance-pop	2	0.2138127088546753	0.09523809523809523
Pop	Pop---Light Music	2	0.21086997538805008	0.09523809523809523
Electronic	Electronic---Trip Hop	2	0.20714426413178444	0.09523809523809523
Reggae	Reggae---Calypso	2	0.20302974432706833	0.09523809523809523
Rock	Rock---Garage Rock	2	0.19838908314704895	0.09523809523809523
Blues	Blues---Electric Blues	2	0.17252600565552711	0.09523809523809523
Jazz	Jazz---Jazz-Funk	2	0.15235598385334015	0.09523809523809523
Blues	Blues---Modern Electric Blues	2	0.1398504339158535	0.09523809523809523
Folk, World, & Country	Folk, World, & Country---Gospel	2	0.1394425630569458	0.09523809523809523
Rock	Rock---Neofolk	2	0.1326858438551426	0.09523809523809523
Electronic	Electronic---Hip Hop	2	0.09210319444537163	0.09523809523809523
Folk, World, & Country	Folk, World, & Country---Séga	1	0.9995458722114563	0.047619047619047616
Rock	Rock---Atmospheric Black Metal	1	0.9288859367370605	0.047619047619047616
Electronic	Electronic---Jumpstyle	1	0.8932167291641235	0.047619047619047616
Electronic	Electronic---Progressive Breaks	1	0.7885711193084717	0.047619047619047616
Jazz	Jazz---Dixieland	1	0.7550259232521057	0.047619047619047616
Rock	Rock---Technical Death Metal	1	0.7463931441307068	0.047619047619047616
Blues	Blues---Country Blues	1	0.7440592050552368	0.047619047619047616
Rock	Rock---Emo	1	0.7363940477371216	0.047619047619047616
Pop	Pop---Europop	1	0.7196389436721802	0.047619047619047616
Electronic	Electronic---Speedcore	1	0.7137438058853149	0.047619047619047616
Rock	Rock---Deathrock	1	0.6624792218208313	0.047619047619047616
Electronic	Electronic---Euro-Disco	1	0.6156774759292603	0.047619047619047616
Funk / Soul	Funk / Soul---Boogie	1	0.5769684314727783	0.047619047619047616
Rock	Rock---Progressive Metal	1	0.5341202020645142	0.047619047619047616
Rock	Rock---Twist	1	0.5248489379882812	0.047619047619047616
Electronic	Electronic---Broken Beat	1	0.5018867254257202	0.047619047619047616
